"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"202","2017","12","Uttar Pradesh","Shahjahanpur","210.76","247.7","1.11","0.0","1.11","3.38","2.3","0.0","0.26","0.19","0.31","33.83","3.87","8.85","14.44","0.0","0.0","0.01","0.0","0.02","0.0","45.74","0.0","0.0","0.0","0.0","8.76","0.27","0.0"
"203","2017","12","Uttar Pradesh","Pilibhit","140.74","131.99","0.0","0.0","0.0","0.0","0.18","0.0","0.0","0.1","0.0","2.78","1.0","0.63","10.82","0.0","0.0","0.0","0.0","0.3","0.0","79.28","0.0","0.0","0.0","0.0","0.46","0.04","0.0"
"204","2017","12","Uttar Pradesh","Rampur","138.67","149.25","0.59","0.0","0.59","2.69","0.28","0.0","0.01","0.02","0.0","8.01","0.0","0.04","3.77","0.0","0.0","0.0","0.01","0.04","0.0","21.85","0.0","0.0","0.0","0.0","1.78","0.03","0.0"
"205","2017","12","Uttar Pradesh","Bijnor","50.88","157.27","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.01","0.0","2.57","0.91","0.01","4.07","0.0","0.0","0.0","0.0","0.0","0.0","201.63","0.0","0.0","0.0","0.0","0.65","0.0","0.0"
"206","2017","12","Uttar Pradesh","Farrukhabad","34.62","150.66","2.87","0.0","2.87","5.08","85.47","0.0","2.28","1.5","2.52","10.36","2.43","4.04","17.15","0.0","0.0","0.0","0.9","0.0","0.0","8.36","0.0","0.0","0.0","0.0","85.26","2.35","0.0"
"207","2017","12","Uttar Pradesh","Etawah","101.35","198.17","0.84","0.0","0.84","69.65","14.62","0.0","3.53","7.1","5.32","11.74","0.15","1.73","29.97","0.0","0.0","0.01","0.01","0.0","0.0","1.09","0.0","0.0","0.0","0.0","23.87","0.1","0.0"
"208","2017","12","Uttar Pradesh","Kanpur","73.99","226.79","23.44","0.0","23.44","18.46","34.24","0.0","10.1","38.39","12.86","22.63","0.13","3.91","36.78","0.0","0.0","0.49","0.02","0.05","0.0","4.11","0.0","0.0","0.0","0.0","15.08","1.05","0.0"
"209","2017","12","Uttar Pradesh","Fatehpur","82.06","170.17","8.49","0.0","8.49","7.39","0.31","0.0","3.58","42.14","17.47","15.83","0.21","9.36","15.17","0.0","0.0","0.18","0.0","0.0","0.0","6.38","0.0","0.0","0.0","0.0","8.77","1.52","0.0"
"210","2017","12","Uttar Pradesh","Allahabad","215.88","283.11","10.58","0.0","10.58","29.64","0.56","0.0","4.48","17.56","23.34","21.83","0.02","1.93","2.81","0.0","0.0","0.32","0.0","0.0","0.0","2.86","0.0","0.0","0.0","0.0","17.51","0.84","0.0"
"211","2017","12","Uttar Pradesh","Jhansi","10.21","302.3","2.23","0.0","2.23","0.0","20.74","0.0","12.45","42.86","0.82","378.21","31.23","83.32","17.67","0.0","0.0","0.66","0.0","13.45","0.0","0.18","0.0","0.0","0.0","0.0","1.06","0.28","0.0"
