Site Name,X-coordinate,Y-coordinate
Warren Quarry Landfill Gas Scheme,453700.0,300300.0
Kilsby Landfill Scheme,456800.0,269500.0
Bletchley Phase II,484900.0,231900.0
Calvert Phase II,469400.0,222900.0
Weldon Phase 1 and 2,492300.0,288500.0
Enderby Warren Phase II,453600.0,300200.0
Waverley Wood II,436100.0,271400.0
Glapwell Power,446200.0,366800.0
Judkins Landfill Site Phase 3,435300.0,292800.0
Pen y Bont,329200.0,341600.0
Ruabon,330000.0,345000.0
Maw Green Landfill Site,371800.0,357500.0
Gowy Landfill Site,344600.0,371500.0
Arpley Landfill Scheme 'A',357300.0,386300.0
Holiday Moss Landfill Gas Scheme,349000.0,402000.0
Arpley Landfill Scheme 'B',357300.0,386300.0
Bromborough Dock Landfill Scheme,334900.0,384800.0
Bidston Moss Landfill Scheme,328600.0,390900.0
Llandulas Landfill Scheme,291000.0,378500.0
Holiday Moss Gas to Energy II,349000.0,402000.0
Himley Wood Landfill Site,389900.0,290900.0
Hill and Moor Landfill Scheme,398000.0,248300.0
Edwin Richards Landfill Scheme,396000.0,288000.0
Candles/Coalmoor Landfill,366300.0,307700.0
Packington Generation Plant Phase 3,421100.0,285800.0
Sandy Lane Generation Plant,395200.0,276200.0
Meece Landfill,385400.0,333900.0
Granville Landfill Site,372500.0,312000.0
PG1-Coxhoe Waste Disposal Site,432800.0,536700.0
PG2 Bolam Power Generation,419100.0,523100.0
Kibblesworth Landfill Site,425500.0,556500.0
PG4 St Bedes Power Generation,426600.0,555200.0
Seghill Village Waste Disposal Site phase 1 and 2,429800.0,574300.0
Distington Landfill,302500.0,524300.0
Shearman Field,302700.0,524900.0
Danes Moss Landfill Site,390400.0,371500.0
Pilsworth Quarry Landfill Scheme,383000.0,409700.0
Risley '4' Landfill Scheme,366500.0,393500.0
Billinge Hill Quarry Landfill Scheme,352500.0,401300.0
Whinney Hill II Energy,376000.0,430500.0
Deerplay Landfill Site,385600.0,428300.0
Butchersfield Landfill Site,367900.0,389100.0
Shelford Landfill Scheme,616200.0,160000.0
Beddingham 'B' Landfill Scheme,544500.0,107500.0
Stangate Landfill Site,560300.0,156300.0
Offham Landfill Site Phase II,564600.0,157400.0
Shelford Generation Plant II,616195.0,160155.0
Brookhurst Wood Gas to Energy,517300.0,135000.0
Horton Landfill Site,520500.0,112400.0
Whites Landfill Site (Canford),403000.0,96500.0
Ardley Fields Farm Landfill Site,454500.0,227500.0
Compton Bassett Landfill,402000.0,171000.0
Sutton Courtenay Landfill Scheme,450800.0,192800.0
Chapel Farm Landfill,413300.0,190800.0
Dimmer Landfill Gas Scheme,361300.0,130900.0
Dimmer Landfill Site,361300.0,130800.0
Farnham Landfill,482000.0,144700.0
Sutton Courtney,451700.0,193000.0
Lidsey Landfill,493000.0,103400.0
Norlands Lane Landfill Site,502500.0,169500.0
Westbury Landfill Scheme,388200.0,152600.0
Paulsgrove Landfill Site,464000.0,104500.0
Wapsey's Wood II Landfill Site,497400.0,188900.0
Silent Valley Landfill Scheme,318500.0,207000.0
Briton Ferry,273400.0,195300.0
Withyhedge Generation Plant,196800.0,221800.0
Tythegston Landfill Site,285100.0,178800.0
Briton / Neath,273300.0,195400.0
Lamby Way Landfill Site,322200.0,178300.0
Nant y Caws Landfill Site,247200.0,217700.0
Deep Moor Gas to Energy,252700.0,121300.0
Chelson Meadow Gas to Energy Scheme,249610.0,54475.0
United Mines Landfill Scheme,173500.0,42500.0
Poole Generation Plant,315200.0,121600.0
Walpole Landfill,331400.0,143200.0
Bootham Lane,465600.0,410400.0
Parkwood Landfill Scheme,434700.0,389800.0
Immingham Landfill Scheme,520100.0,414500.0
Immingham,520100.0,414500.0
Skelbrooke Landfill Gas Project,451000.0,411700.0
Soothills Landfill,426500.0,424700.0
Roxby Gas to Energy,491000.0,417000.0
Winterton Landfill Site,491400.0,420100.0
Pitsea Tipp,574100.0,185000.0
Queens Park Energy,385631.0,433704.0
Highfields South Landfill Gas,404412.0,302851.0
Black Dog,396450.0,814422.0
Bootham Lane Phase 2,465600.0,410400.0
Westmill Qaurry,533985.0,215520.0
St Day II,174715.0,42285.0
Connon Bridge Landfill,219100.0,62600.0
Rowley,385506.0,433263.0
Withnell LFS,363890.0,424010.0
Lune Power,345500.0,462500.0
Rossendale Power,380634.0,420905.0
Dogsthorpe South Landfill Site 2,520550.0,301950.0
Avondale,278500.0,669700.0
Springfield Farm,500044.0,188047.0
Danes Moss Landfill Site (Extension),390400.0,371500.0
Sands Farm Quarry Landfill Site,401600.0,171100.0
Squabb Wood,433500.0,121500.0
Wooton,476100.0,255500.0
Clifton Hall,379242.0,402721.0
Chapman's Well,417307.0,550811.0
Mark's Quarry,431500.0,546500.0
Former Pluckley Landfill Site,592690.0,145607.0
Horncliffe Quarry (Extension),380634.0,420905.0
Skibeden,401344.0,452711.0
Ugley,552500.0,228500.0
Waresley Landfill Site,385427.0,270719.0
Whiteparish,421500.0,124500.0
Broockhurst Wood,515500.0,133500.0
Bromborough Dock,334819.0,383903.0
"Maw Green Landfill Site, Cheshire (Extension)",371800.0,357500.0
"Gowy Landfill Site, Cheshire (Extension)",344600.0,371500.0
PG4 St Bedes Power Generation (Extension),426500.0,555200.0
Sutton Landfill Site,448151.0,358994.0
PG4 St Bedes Power Generation (Extension 2),426700.0,555200.0
Arlesey Landfill Site,518400.0,235100.0
Brynpica Landfill Site,297500.0,196500.0
Southleigh Landfill,473801.0,108109.0
Heathfield 'A' Landfill,290000.0,90000.0
Ongar Landfill Scheme,556250.0,202350.0
PG2 Bolam Power Generator (Extension),419100.0,523100.0
Garlaff Landfill (Extension),254300.0,617500.0
Milton Landfill Site,547312.0,262455.0
Risley Sets 13 & 14,366500.0,393300.0
Path Head,417508.0,563386.0
Oatslie Landfill Gas,327200.0,663100.0
Weston Landfill Site,467080.0,258920.0
West Mill,554384.0,222939.0
Skelton Grange Landfill,436600.0,430600.0
Houghton-le-Spring Landfill Site,435320.0,550025.0
Barkip Landfill Site,229333.0,650530.0
Lochhead,308500.0,690500.0
Cottonmount Quarry,141164.0,539297.0
Kaimes Landfill Site,312800.0,666500.0
Greengairs Landfill Scheme Phase VI,278500.0,669700.0
Auchencarroch Landfill,242100.0,681100.0
Greenoakhill,266600.0,662700.0
Garlaff Landfill,254300.0,617500.0
Tarbothill Landfill Site,395600.0,813500.0
Greengairs Landfill Scheme Phase III,278500.0,669700.0
Greengairs Landfill Scheme Phase IV,278500.0,669700.0
Greengairs Landfill Scheme Phase I,278500.0,659700.0
Greengairs Landfill Scheme Phase II,278500.0,669700.0
West Quarry,352200.0,409700.0
Lower Melville Wood,330000.0,711700.0
Bennett Bank Landfill Site (lfg),321500.0,474500.0
Efford Landfill (Newmilton),423500.0,95400.0
Betton Abbots,351400.0,308300.0
Burnhills Landfill Scheme (L4),415600.0,562400.0
Brenkley Landfill,420900.0,575000.0
Burnhills Landfill (L5),415600.0,562400.0
Clifton Marsh Energy,347100.0,428700.0
Ulnes Walton Energy,349400.0,420300.0
Jameson Road,333300.0,445700.0
Scouthead Power Plant,397500.0,406500.0
Runfold Landfill,486500.0,147300.0
Narborough Landfill,452500.0,297500.0
Lount/Smoile,438200.0,318700.0
Sidegate Lane,491700.0,270300.0
Godmanchester,525700.0,271000.0
Binn Landfill,317600.0,713900.0
Auchinlea Landfill Site,281000.0,659000.0
Ufton,438100.0,261200.0
